mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004393577575683594,0.001015432963009845,0.0037984848022460938,0.0011622133914067942,2,16,"{'max_depth': 2, 'min_samples_split': 16}",0.6388888888888888,0.5972222222222222,0.625,0.6197183098591549,0.6901408450704225,0.6341940532081377,0.031026050499868202,1
0.0041996479034423825,0.0007484177045151932,0.010200595855712891,0.012921029487706164,2,17,"{'max_depth': 2, 'min_samples_split': 17}",0.6388888888888888,0.5972222222222222,0.625,0.6197183098591549,0.6901408450704225,0.6341940532081377,0.031026050499868202,1
0.0037987232208251953,0.0009800563233344913,0.0030012130737304688,0.000632334526788753,2,18,"{'max_depth': 2, 'min_samples_split': 18}",0.6388888888888888,0.5972222222222222,0.625,0.6197183098591549,0.6901408450704225,0.6341940532081377,0.031026050499868202,1
0.004599189758300782,0.0008005385086150809,0.0028009414672851562,0.0007476911252126853,2,19,"{'max_depth': 2, 'min_samples_split': 19}",0.6388888888888888,0.5972222222222222,0.625,0.6197183098591549,0.6901408450704225,0.6341940532081377,0.031026050499868202,1
0.0044001579284667965,0.0004911291157710085,0.00279998779296875,0.0007489666535306046,6,16,"{'max_depth': 6, 'min_samples_split': 16}",0.6388888888888888,0.5416666666666666,0.5416666666666666,0.676056338028169,0.647887323943662,0.6092331768388106,0.05651443321953161,5
0.0033998489379882812,0.000490369721544356,0.002399921417236328,0.0004897846281002358,6,17,"{'max_depth': 6, 'min_samples_split': 17}",0.625,0.5555555555555556,0.5416666666666666,0.676056338028169,0.647887323943662,0.6092331768388106,0.05225818786718436,5
0.003200197219848633,0.00040106800305197943,0.0021995067596435546,0.0003988267416477177,6,18,"{'max_depth': 6, 'min_samples_split': 18}",0.625,0.5555555555555556,0.5416666666666666,0.6619718309859155,0.647887323943662,0.6064162754303599,0.048848637847935916,11
0.0038002490997314452,0.0009810500999106356,0.002200031280517578,0.00039880282496738365,6,19,"{'max_depth': 6, 'min_samples_split': 19}",0.625,0.5555555555555556,0.5416666666666666,0.6619718309859155,0.647887323943662,0.6064162754303599,0.048848637847935916,11
0.004798746109008789,0.0011660732835427749,0.003801870346069336,0.0009810907252633698,8,16,"{'max_depth': 8, 'min_samples_split': 16}",0.6666666666666666,0.5416666666666666,0.5138888888888888,0.676056338028169,0.647887323943662,0.6092331768388106,0.0676961597951744,5
0.005199813842773437,0.00040142687325267474,0.0025995254516601564,0.0004894361769868423,8,17,"{'max_depth': 8, 'min_samples_split': 17}",0.6527777777777778,0.5555555555555556,0.5138888888888888,0.676056338028169,0.647887323943662,0.6092331768388106,0.06297210573259006,5
0.0061991214752197266,0.0009805433804121301,0.00420083999633789,0.0004008324634556337,8,18,"{'max_depth': 8, 'min_samples_split': 18}",0.6527777777777778,0.5555555555555556,0.5138888888888888,0.6619718309859155,0.647887323943662,0.6064162754303599,0.060172729045917195,11
0.004799842834472656,0.0007472450126928711,0.0035993099212646485,0.0004899996966843349,8,19,"{'max_depth': 8, 'min_samples_split': 19}",0.6527777777777778,0.5555555555555556,0.5138888888888888,0.6619718309859155,0.647887323943662,0.6064162754303599,0.060172729045917195,11
0.004000091552734375,0.0006312805807106719,0.003200244903564453,0.00040164046200887163,18,16,"{'max_depth': 18, 'min_samples_split': 16}",0.6527777777777778,0.5416666666666666,0.5138888888888888,0.676056338028169,0.647887323943662,0.6064553990610329,0.06553288720220225,9
0.005397605895996094,0.0004895523734937049,0.004001808166503906,9.81867803667736e-07,18,17,"{'max_depth': 18, 'min_samples_split': 17}",0.6388888888888888,0.5555555555555556,0.5138888888888888,0.676056338028169,0.647887323943662,0.6064553990610329,0.061273451414674183,9
0.004999876022338867,0.0006344459145786169,0.003799152374267578,0.0007464048328905984,18,18,"{'max_depth': 18, 'min_samples_split': 18}",0.6388888888888888,0.5555555555555556,0.5138888888888888,0.6619718309859155,0.647887323943662,0.6036384976525822,0.05825854114577648,15
0.004599189758300782,0.0010214617755684482,0.0034011363983154296,0.0007978824365204325,18,19,"{'max_depth': 18, 'min_samples_split': 19}",0.6388888888888888,0.5555555555555556,0.5138888888888888,0.6619718309859155,0.647887323943662,0.6036384976525822,0.05825854114577648,15
