mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005400848388671875,0.0024150261232004856,0.003998661041259765,0.0010945411636709228,2,16,"{'max_depth': 2, 'min_samples_split': 16}",0.6388888888888888,0.5972222222222222,0.625,0.6197183098591549,0.6901408450704225,0.6341940532081377,0.031026050499868202,1
0.0033991336822509766,0.0010194124164229856,0.0038002967834472657,0.000979549927712333,2,17,"{'max_depth': 2, 'min_samples_split': 17}",0.6388888888888888,0.5972222222222222,0.625,0.6197183098591549,0.6901408450704225,0.6341940532081377,0.031026050499868202,1
0.0038007259368896484,0.0004001145566860615,0.0027992725372314453,0.0007491580837965171,2,18,"{'max_depth': 2, 'min_samples_split': 18}",0.6388888888888888,0.5972222222222222,0.625,0.6197183098591549,0.6901408450704225,0.6341940532081377,0.031026050499868202,1
0.003201007843017578,0.0007491567938965969,0.0025992393493652344,0.0008001928937721932,2,19,"{'max_depth': 2, 'min_samples_split': 19}",0.6388888888888888,0.5972222222222222,0.625,0.6197183098591549,0.6901408450704225,0.6341940532081377,0.031026050499868202,1
0.0041996479034423825,0.0007488000680233823,0.0028025150299072266,0.0007478741199693939,6,16,"{'max_depth': 6, 'min_samples_split': 16}",0.6666666666666666,0.5416666666666666,0.5416666666666666,0.6619718309859155,0.647887323943662,0.6119718309859155,0.05773574273265301,9
0.0028007030487060547,0.0004001857661263036,0.0027995586395263674,0.0007483412144461454,6,17,"{'max_depth': 6, 'min_samples_split': 17}",0.625,0.5555555555555556,0.5416666666666666,0.676056338028169,0.647887323943662,0.6092331768388106,0.05225818786718436,12
0.0033997058868408202,0.00080032377043029,0.002600288391113281,0.0008004189957939357,6,18,"{'max_depth': 6, 'min_samples_split': 18}",0.625,0.5555555555555556,0.5416666666666666,0.6619718309859155,0.647887323943662,0.6064162754303599,0.048848637847935916,14
0.002999114990234375,0.0006333904884059231,0.002401304244995117,0.0004896326474745333,6,19,"{'max_depth': 6, 'min_samples_split': 19}",0.625,0.5555555555555556,0.5416666666666666,0.6619718309859155,0.647887323943662,0.6064162754303599,0.048848637847935916,14
0.0029993057250976562,7.231593555499601e-07,0.002400827407836914,0.0008007527746467248,8,16,"{'max_depth': 8, 'min_samples_split': 16}",0.625,0.5416666666666666,0.5138888888888888,0.676056338028169,0.647887323943662,0.6008998435054773,0.06247657959849674,16
0.0029999256134033204,1.2489128926953122e-06,0.002200412750244141,0.0003994478962483949,8,17,"{'max_depth': 8, 'min_samples_split': 17}",0.625,0.5555555555555556,0.5138888888888888,0.704225352112676,0.647887323943662,0.6093114241001565,0.0674359530553207,10
0.0029996395111083984,8.869683855885636e-07,0.0022003650665283203,0.00040054335480642074,8,18,"{'max_depth': 8, 'min_samples_split': 18}",0.6527777777777778,0.5555555555555556,0.5277777777777778,0.6901408450704225,0.647887323943662,0.6148278560250391,0.062122609450747546,6
0.002800130844116211,0.0003997807284345294,0.002599763870239258,0.0007986087516614965,8,19,"{'max_depth': 8, 'min_samples_split': 19}",0.6527777777777778,0.5555555555555556,0.5138888888888888,0.6901408450704225,0.647887323943662,0.6120500782472613,0.06613391224114216,7
0.004199028015136719,0.0007481375947520104,0.00340118408203125,0.0008012554098326679,18,16,"{'max_depth': 18, 'min_samples_split': 16}",0.6527777777777778,0.5416666666666666,0.5138888888888888,0.6901408450704225,0.647887323943662,0.6092723004694836,0.06869073449344042,11
0.002799224853515625,0.00039980913059902253,0.002199268341064453,0.0003985883374150544,18,17,"{'max_depth': 18, 'min_samples_split': 17}",0.6666666666666666,0.5555555555555556,0.5277777777777778,0.6901408450704225,0.647887323943662,0.6176056338028169,0.06403839239961678,5
0.002800464630126953,0.00039971032285963075,0.0022003173828125,0.0003997403966238484,18,18,"{'max_depth': 18, 'min_samples_split': 18}",0.6666666666666666,0.5555555555555556,0.5138888888888888,0.676056338028169,0.647887323943662,0.6120109546165884,0.06510195655729784,8
0.0036000728607177733,0.0013573814708783254,0.0024000167846679687,0.0007996094604310752,18,19,"{'max_depth': 18, 'min_samples_split': 19}",0.6388888888888888,0.5555555555555556,0.5138888888888888,0.676056338028169,0.647887323943662,0.6064553990610329,0.061273451414674183,13
